,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
760,6.06,2.06,26.7,3.6,467000000.0,8.3253795196892,367000000.0,58.6390317133872,442000000.0,16.5200614694953
762,6.06,2.06,26.82,3.2,454000000.0,9.8721312531942,354000000.0,62.653750807389194,429000000.0,18.046424383136397
763,6.06,2.06,26.82,3.3,457000000.0,9.5562090225145,357000000.0,61.568146973180504,432000000.0,17.8101676936129
764,6.06,2.06,26.82,3.4,460000000.0,9.2207427599382,360000000.0,60.5121148528502,435000000.0,17.5485528803636
765,6.06,2.06,26.82,3.5,463000000.0,8.8663319838587,363000000.0,59.4827720279647,438000000.0,17.263845543326198
766,6.06,2.06,26.82,3.6,466000000.0,8.4950964289638,366000000.0,58.4792031164098,441000000.0,16.9601045692267
768,6.06,2.06,26.94,3.2,453000000.0,10.036716842212,353000000.0,62.469834340785,428000000.0,18.5193824137153
769,6.06,2.06,26.94,3.3,456000000.0,9.7235198509991,356000000.0,61.400105497253094,431000000.0,18.280843432492198
770,6.06,2.06,26.94,3.4,459000000.0,9.3899244470767,359000000.0,60.357196864464704,434000000.0,18.0153142723524
771,6.06,2.06,26.94,3.5,462000000.0,9.0360832744252,362000000.0,59.3380371426512,437000000.0,17.724529739801298
772,6.06,2.06,26.94,3.6,464000000.0,8.6678721489551,364000000.0,57.8106651007841,439000000.0,18.1818839626163
774,6.06,2.06,27.06,3.2,452000000.0,10.199737354459,352000000.0,62.310058691476,427000000.0,19.0022228821984
775,6.06,2.06,27.06,3.3,455000000.0,9.8892002239671,355000000.0,61.2547676484711,430000000.0,18.761573927513
776,6.06,2.06,27.06,3.4,458000000.0,9.5574647519671,358000000.0,60.2237773233301,433000000.0,18.4923902589915
777,6.06,2.06,27.06,3.5,461000000.0,9.2042977962606,361000000.0,59.2138596065036,436000000.0,18.1959376327776
778,6.06,2.06,27.06,3.6,463000000.0,8.8460967841607,363000000.0,57.7274872907347,438000000.0,18.6651036781196
780,6.06,2.06,27.18,3.2,451000000.0,10.361390441944,351000000.0,62.172226594033006,426000000.0,19.4947674734813
781,6.06,2.06,27.18,3.3,454000000.0,10.05347774217,354000000.0,61.130153883839,429000000.0,19.252205868344
782,6.06,2.06,27.18,3.4,457000000.0,9.7235928830689,357000000.0,60.110037704336904,432000000.0,18.9796237784575
783,6.06,2.06,27.18,3.5,460000000.0,9.3711723915032,360000000.0,59.1085246205582,435000000.0,18.6778744259138
784,6.06,2.06,27.18,3.6,462000000.0,9.021763255569,362000000.0,57.659542471453,437000000.0,19.157500649681
786,6.06,2.06,27.3,3.2,450000000.0,10.521817878309,350000000.0,62.054419014138,425000000.0,19.9968028922317
787,6.06,2.06,27.3,3.3,453000000.0,10.216547106145,353000000.0,61.024553068596,428000000.0,19.7525741744914
788,6.06,2.06,27.3,3.4,456000000.0,9.8885272700473,356000000.0,60.0144228919103,431000000.0,19.476868173157598
789,6.06,2.06,27.3,3.5,459000000.0,9.5369142383566,359000000.0,59.0205793365566,434000000.0,19.1701766424253
790,6.06,2.06,27.3,3.6,461000000.0,9.1948104880982,361000000.0,57.605398507023196,436000000.0,19.6586712872532
792,6.06,2.18,26.7,3.2,454000000.0,9.6124014690983,354000000.0,61.6410776446813,429000000.0,17.438052195476402
793,6.06,2.18,26.7,3.3,457000000.0,9.3080288021732,357000000.0,60.5745148350032,432000000.0,17.2202035539605
794,6.06,2.18,26.7,3.4,460000000.0,8.984257253858,360000000.0,59.536773325849,435000000.0,16.977074954987
795,6.06,2.18,26.7,3.5,463000000.0,8.6417061234938,363000000.0,58.5250887635388,438000000.0,16.7109504468743
796,6.06,2.18,26.7,3.6,466000000.0,8.2825656749173,366000000.0,57.5386978288473,441000000.0,16.4259583213385
798,6.06,2.18,26.82,3.2,453000000.0,9.7778312388229,353000000.0,61.4642242074099,428000000.0,17.9108970262391
799,6.06,2.18,26.82,3.3,456000000.0,9.4769970157103,356000000.0,60.414012714851296,431000000.0,17.6915948719207
800,6.06,2.18,26.82,3.4,459000000.0,9.1560166514192,359000000.0,59.3900173611242,434000000.0,17.4454815035224
801,6.06,2.18,26.82,3.5,462000000.0,8.8150481705865,362000000.0,58.3892644610645,437000000.0,17.1742963230695
802,6.06,2.18,26.82,3.6,465000000.0,8.4556318817143,365000000.0,57.41055179748329,440000000.0,16.881431106200402
804,6.06,2.18,26.94,3.2,452000000.0,9.9414965175904,352000000.0,61.3112462022774,427000000.0,18.3937649221183
805,6.06,2.18,26.94,3.3,455000000.0,9.6440834030895,355000000.0,60.2759083410175,430000000.0,18.173124241059497
806,6.06,2.18,26.94,3.4,458000000.0,9.3258458122252,358000000.0,59.2644262769102,433000000.0,17.9242438448825
807,6.06,2.18,26.94,3.5,461000000.0,8.9865408041461,361000000.0,58.2736486169491,436000000.0,17.648379449237602
808,6.06,2.18,26.94,3.6,464000000.0,8.6271371082382,364000000.0,57.3019898196802,439000000.0,17.348263823891
810,6.06,2.18,27.06,3.2,451000000.0,10.103633561064,351000000.0,61.179981853537,426000000.0,18.8864864258105
811,6.06,2.18,27.06,3.3,454000000.0,9.8095383318812,354000000.0,60.1582417222312,429000000.0,18.6646314828823
812,6.06,2.18,27.06,3.4,457000000.0,9.4939840200437,357000000.0,59.1581883509337,432000000.0,18.413185443845002
813,6.06,2.18,27.06,3.5,460000000.0,9.1563812730171,360000000.0,58.176523539682094,435000000.0,18.1329759430884
814,6.06,2.18,27.06,3.6,462000000.0,8.8003720002651,362000000.0,56.7400725907851,437000000.0,18.6155591982538
816,6.06,2.18,27.18,3.2,450000000.0,10.264437761188,350000000.0,61.068562929904,425000000.0,19.3888725138911
817,6.06,2.18,27.18,3.3,453000000.0,9.9735903008135,353000000.0,60.0593325778375,428000000.0,19.1659561240672
818,6.06,2.18,27.18,3.4,456000000.0,9.6606675252947,356000000.0,59.0697632615777,431000000.0,18.9121483946138
819,6.06,2.18,27.18,3.5,459000000.0,9.3247823318967,359000000.0,58.0964388808137,434000000.0,18.6278989194225
820,6.06,2.18,27.18,3.6,461000000.0,8.9776432981553,361000000.0,56.6948021188353,436000000.0,19.1211683349743
822,6.06,2.18,27.3,3.2,449000000.0,10.424042949039,349000000.0,60.975334673945,424000000.0,19.900696737713098
823,6.06,2.18,27.3,3.3,452000000.0,10.136428607128,352000000.0,59.977710577631996,427000000.0,19.6769229233931
824,6.06,2.18,27.3,3.4,455000000.0,9.8261152028166,355000000.0,58.997820946009604,430000000.0,19.420981991666203
825,6.06,2.18,27.3,3.5,458000000.0,9.4919605197842,358000000.0,58.0321577144052,433000000.0,19.1329897750362
826,6.06,2.18,27.3,3.6,460000000.0,9.1521526657769,360000000.0,56.6619479790529,435000000.0,19.635294115119898
828,6.06,2.3,26.7,3.2,454000000.0,9.5130462291012,354000000.0,61.096172164561196,429000000.0,16.558618583692
829,6.06,2.3,26.7,3.3,456000000.0,9.2107724064902,356000000.0,59.4465189599562,431000000.0,17.1146455668711
830,6.06,2.3,26.7,3.4,459000000.0,8.9003684975336,359000000.0,58.4390455697966,434000000.0,16.885965279742102
831,6.06,2.3,26.7,3.5,462000000.0,8.570126844768,362000000.0,57.454256017251,437000000.0,16.632290866370802
832,6.06,2.3,26.7,3.6,465000000.0,8.2216256015096,365000000.0,56.4910556341566,440000000.0,16.3570508741421
834,6.06,2.3,26.82,3.2,453000000.0,9.6679066945702,353000000.0,60.9094716082432,428000000.0,17.022887315779002
835,6.06,2.3,26.82,3.3,455000000.0,9.37948039982,355000000.0,59.315472327975,430000000.0,17.597018324875798
836,6.06,2.3,26.82,3.4,458000000.0,9.0726535192983,358000000.0,58.3210832652863,433000000.0,17.366414411830497
837,6.06,2.3,26.82,3.5,461000000.0,8.7450043025074,361000000.0,57.346963169561405,436000000.0,17.1089930177253
838,6.06,2.3,26.82,3.6,464000000.0,8.3975224703596,364000000.0,56.391613106311596,439000000.0,16.8275073398278
840,6.06,2.3,26.94,3.2,451000000.0,9.8285977006942,351000000.0,60.2083462655242,426000000.0,18.292545808461
841,6.06,2.3,26.94,3.3,454000000.0,9.5463401312412,354000000.0,59.2045983319272,429000000.0,18.0894820026008
842,6.06,2.3,26.94,3.4,457000000.0,9.2429934449808,357000000.0,58.2221801124728,432000000.0,17.8571135670069
843,6.06,2.3,26.94,3.5,460000000.0,8.9179507165174,360000000.0,57.257849693941395,435000000.0,17.5962504329748
844,6.06,2.3,26.94,3.6,463000000.0,8.5716859295643,363000000.0,56.3097578785633,438000000.0,17.309042957076798
846,6.06,2.3,27.06,3.2,450000000.0,9.9899999418962,350000000.0,60.1031391491422,425000000.0,18.7953760164765
847,6.06,2.3,27.06,3.3,453000000.0,9.71160431814,353000000.0,59.112238040544,428000000.0,18.5918691820899
848,6.06,2.3,27.06,3.4,456000000.0,9.4116361615458,356000000.0,58.1408045128698,431000000.0,18.3578854409257
849,6.06,2.3,27.06,3.5,459000000.0,9.0891806146284,359000000.0,57.1854640815924,434000000.0,18.0938470557236
850,6.06,2.3,27.06,3.6,462000000.0,8.7442631382401,362000000.0,56.2440688389051,437000000.0,17.801369140090003
852,6.06,2.3,27.18,3.2,449000000.0,10.15013097496,349000000.0,60.015987037604,424000000.0,19.3078458214367
