,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
114,26.7,6.06,26.82,2.2,426000000,12.432047726756,326000000,79.579886103806
115,26.7,6.06,26.82,2.3,429000000,12.221134590182,329000000,77.463207225216
116,26.7,6.06,26.82,2.4,432000000,12.001828876931,332000000,75.538088016146
117,26.7,6.06,26.82,2.5,435000000,11.773153289549,335000000,73.76885477655
118,26.7,6.06,26.82,2.6,438000000,11.533904972198,338000000,72.128271724399
120,26.7,6.06,26.94,2.2,425000000,12.575849473515,325000000,78.811338568526
121,26.7,6.06,26.94,2.3,428000000,12.365310765639,328000000,76.797820991513
122,26.7,6.06,26.94,2.4,431000000,12.146687513023,331000000,74.955494596258
123,26.7,6.06,26.94,2.5,434000000,11.918932573612,334000000,73.253861922022
124,26.7,6.06,26.94,2.6,437000000,11.680779102845,337000000,71.669242233633
126,26.7,6.06,27.06,2.2,424000000,12.721156890208,324000000,78.141334741292
127,26.7,6.06,27.06,2.3,427000000,12.510928868874,327000000,76.215336672713
128,26.7,6.06,27.06,2.4,430000000,12.292901582948,330000000,74.444057864316
129,26.7,6.06,27.06,2.5,433000000,12.065951584371,333000000,72.80095922219
130,26.7,6.06,27.06,2.6,436000000,11.828742468799,336000000,71.265131380704
132,26.7,6.06,27.18,2.2,423000000,12.867993583961,323000000,77.55370204542
133,26.7,6.06,27.18,2.3,426000000,12.658073994116,326000000,75.703168775227
134,26.7,6.06,27.18,2.4,429000000,12.440618457575,329000000,73.993736804631
135,26.7,6.06,27.18,2.5,432000000,12.214419037647,332000000,72.401970448807
136,26.7,6.06,27.18,2.6,435000000,11.978062272529,335000000,70.90916730076
138,26.7,6.06,27.3,2.2,422000000,13.016237406366,322000000,77.035915598717
139,26.7,6.06,27.3,2.3,425000000,12.806701901748,325000000,75.251390714157
140,26.7,6.06,27.3,2.4,428000000,12.589873267287,328000000,73.596496535407
141,26.7,6.06,27.3,2.5,431000000,12.364448863247,331000000,72.050280306243
142,26.7,6.06,27.3,2.6,434000000,12.128928411799,334000000,70.595827004065
144,26.7,6.18,26.7,2.2,426000000,12.381260725195,326000000,79.017093265089
145,26.7,6.18,26.7,2.3,429000000,12.168062932888,329000000,76.938625512148
146,26.7,6.18,26.7,2.4,432000000,11.947055381382,332000000,75.045046863582
147,26.7,6.18,26.7,2.5,435000000,11.717327164237,335000000,73.30245184423
148,26.7,6.18,26.7,2.6,438000000,11.477719010516,338000000,71.684853233612
150,26.7,6.18,26.82,2.2,425000000,12.524098855564,325000000,78.266064712264
151,26.7,6.18,26.82,2.3,428000000,12.311431670064,328000000,76.28825594178
152,26.7,6.18,26.82,2.4,431000000,12.091321016999,331000000,74.475632093677
153,26.7,6.18,26.82,2.5,434000000,11.862784116881,334000000,72.799287598213
154,26.7,6.18,26.82,2.6,437000000,11.624594700444,337000000,71.236671709415
156,26.7,6.18,26.94,2.2,424000000,12.668089852454,324000000,77.612499440556
157,26.7,6.18,26.94,2.3,427000000,12.455864050845,327000000,75.719863358211
158,26.7,6.18,26.94,2.4,430000000,12.236545024693,330000000,73.97655802432
159,26.7,6.18,26.94,2.5,433000000,12.009071642172,333000000,72.357478217754
160,26.7,6.18,26.94,2.6,436000000,11.772144877818,336000000,70.842737072467
162,26.7,6.18,27.06,2.2,423000000,12.813219272515,323000000,77.040215255755
163,26.7,6.18,27.06,2.3,426000000,12.601404099933,326000000,75.220837601033
164,26.7,6.18,27.06,2.4,429000000,12.382831711805,329000000,73.537749569182
165,26.7,6.18,27.06,2.5,432000000,12.156354491854,332000000,71.968807820463
166,26.7,6.18,27.06,2.6,435000000,11.920593019404,335000000,70.496235022149
168,26.7,6.18,27.18,2.2,422000000,12.959320172729,322000000,76.536670444277
169,26.7,6.18,27.18,2.3,425000000,12.747958889633,325000000,74.781219964921
170,26.7,6.18,27.18,2.4,428000000,12.530164790492,328000000,73.15112987616
171,26.7,6.18,27.18,2.5,431000000,12.304693714358,331000000,71.626613111796
172,26.7,6.18,27.18,2.6,434000000,12.07007602328,334000000,70.191591462193
174,26.7,6.18,27.3,2.2,421000000,13.106022580869,321000000,76.091827138727
175,26.7,6.18,27.3,2.3,424000000,12.895252112089,324000000,74.392902004148
176,26.7,6.18,27.3,2.4,427000000,12.678365248423,327000000,72.810033613862
177,26.7,6.18,27.3,2.5,430000000,12.454008974633,330000000,71.32533975397
178,26.7,6.18,27.3,2.6,433000000,12.220611059498,333000000,69.924128008092
180,26.7,6.3,26.7,2.2,425000000,12.465192838869,325000000,77.746119386986
181,26.7,6.3,26.7,2.3,428000000,12.249756574613,328000000,75.799407801663
182,26.7,6.3,26.7,2.4,431000000,12.027566753742,331000000,74.01281982689
