,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
339,26.82,6.06,26.94,3.5,462000000,9.0117347192686,362000000,59.4632570926586
340,26.82,6.06,26.94,3.6,465000000,8.6582451860034,365000000,58.4886209942284
342,26.82,6.06,27.06,3.2,453000000,10.20298900685,353000000,63.05784371942
343,26.82,6.06,27.06,3.3,456000000,9.8749181235983,356000000,61.9707191875673
344,26.82,6.06,27.06,3.4,459000000,9.5257294541051,359000000,60.9101137703981
345,26.82,6.06,27.06,3.5,461000000,9.1864481828805,361000000,59.3464313162965
346,26.82,6.06,27.06,3.6,464000000,8.8333256634814,364000000,58.3793430052314
348,26.82,6.06,27.18,3.2,452000000,10.364071275273,352000000,62.891590897171
349,26.82,6.06,27.18,3.3,455000000,10.037496772778,355000000,61.817946139972
350,26.82,6.06,27.18,3.4,457000000,9.6893010396592,357000000,60.2238999420952
351,26.82,6.06,27.18,3.5,460000000,9.3587753194958,360000000,59.2474094150668
352,26.82,6.06,27.18,3.6,463000000,9.0064540306169,363000000,58.2875013531409
354,26.82,6.06,27.3,3.2,451000000,10.524455208041,351000000,62.748018814342
355,26.82,6.06,27.3,3.3,454000000,10.199319518172,354000000,61.686602969998
356,26.82,6.06,27.3,3.4,456000000,9.8563351805067,356000000,60.1313484924727
357,26.82,6.06,27.3,3.5,459000000,9.5287341484828,359000000,59.1645480020818
358,26.82,6.06,27.3,3.6,462000000,9.1776368009839,362000000,58.2115389826869
360,26.82,6.18,26.7,3.2,455000000,9.8000592165883,355000000,63.1050192466693
361,26.82,6.18,26.7,3.3,458000000,9.4731198958583,358000000,61.9984424806193
362,26.82,6.18,26.7,3.4,461000000,9.1277188929343,361000000,60.9241400721673
363,26.82,6.18,26.7,3.5,464000000,8.7649182720044,364000000,59.8794607507964
364,26.82,6.18,26.7,3.6,467000000,8.3874615168365,367000000,58.8639205218765
366,26.82,6.18,26.82,3.2,454000000,9.9652492602946,354000000,62.8945601000306
367,26.82,6.18,26.82,3.3,457000000,9.6406009943127,357000000,61.8048834537197
368,26.82,6.18,26.82,3.4,460000000,9.2965169839041,360000000,60.7444145866331
369,26.82,6.18,26.82,3.5,463000000,8.9335522555354,363000000,59.7102857396484
370,26.82,6.18,26.82,3.6,465000000,8.5591829947078,365000000,58.1513787025348
372,26.82,6.18,26.94,3.2,453000000,10.128727838412,353000000,62.710906182663
373,26.82,6.18,26.94,3.3,456000000,9.8063002610471,356000000,61.6364607641581
374,26.82,6.18,26.94,3.4,459000000,9.4635402827123,359000000,60.5884467648103
