,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
280,5.82,26.82,2.18,3.6,466000000,8.2654238365941,366000000,57.7563719783731
282,5.82,26.82,2.3,3.2,454000000,9.4961238726201,354000000,61.3389249727331
283,5.82,26.82,2.3,3.3,457000000,9.1961506446205,357000000,60.2698871658945
284,5.82,26.82,2.3,3.4,460000000,8.875582993748,360000000,59.229333254465
285,5.82,26.82,2.3,3.5,462000000,8.5370349926157,362000000,57.6443824040377
286,5.82,26.82,2.3,3.6,465000000,8.2016230611449,365000000,56.6896079845559
288,5.82,26.94,1.7,3.2,458000000,9.9530288067339,358000000,67.8336542149639
289,5.82,26.94,1.7,3.3,460000000,9.5809599885689,360000000,65.6874269251749
290,5.82,26.94,1.7,3.4,463000000,9.2297145535446,363000000,64.5363522419806
291,5.82,26.94,1.7,3.5,466000000,8.8639983550207,366000000,63.4271311561987
292,5.82,26.94,1.7,3.6,469000000,8.4880299701296,369000000,62.3595780786856
294,5.82,26.94,1.82,3.2,457000000,9.9524166145702,357000000,66.3432809120742
295,5.82,26.94,1.82,3.3,460000000,9.5956380946128,360000000,65.1259120846598
296,5.82,26.94,1.82,3.4,462000000,9.243894613015,362000000,63.200206596245
297,5.82,26.94,1.82,3.5,465000000,8.8876242289636,365000000,62.1241592932846
298,5.82,26.94,1.82,3.6,468000000,8.518663887615,368000000,61.084101517045
300,5.82,26.94,1.94,3.2,456000000,9.9161228261077,356000000,64.9364306064027
301,5.82,26.94,1.94,3.3,459000000,9.5748850892911,359000000,63.7664221682991
302,5.82,26.94,1.94,3.4,461000000,9.2252579067394,361000000,61.9332722507064
303,5.82,26.94,1.94,3.5,464000000,8.8790390171179,364000000,60.8879030750479
304,5.82,26.94,1.94,3.6,467000000,8.5179153306586,367000000,59.8734848259106
306,5.82,26.94,2.06,3.2,455000000,9.8512477947337,355000000,63.6062441895577
307,5.82,26.94,2.06,3.3,458000000,9.5252344011425,358000000,62.4790802706105
308,5.82,26.94,2.06,3.4,460000000,9.1803052927199,360000000,60.7308948641799
309,5.82,26.94,2.06,3.5,463000000,8.8446228767271,363000000,59.7140648966171
310,5.82,26.94,2.06,3.6,466000000,8.4920703290941,366000000,58.7237396588131
312,5.82,26.94,2.18,3.2,454000000,9.7635728194428,354000000,62.3468702983688
313,5.82,26.94,2.18,3.3,457000000,9.4524214131264,357000000,61.2586705951394
314,5.82,26.94,2.18,3.4,460000000,9.1205393229054,360000000,60.1997908893514
315,5.82,26.94,2.18,3.5,462000000,8.7895123380914,362000000,58.5987669088464
316,5.82,26.94,2.18,3.6,465000000,8.446165948721,365000000,57.631216719916
318,5.82,26.94,2.3,3.2,453000000,9.657817722344,353000000,61.153233169102
319,5.82,26.94,2.3,3.3,456000000,9.3611322503568,356000000,60.1006283362988
320,5.82,26.94,2.3,3.4,459000000,9.0431719693974,359000000,59.0739306507104
321,5.82,26.94,2.3,3.5,461000000,8.7178611791013,361000000,57.5384807845243
322,5.82,26.94,2.3,3.6,464000000,8.3842548636359,364000000,56.5925560914669
324,5.82,27.06,1.7,3.2,457000000,10.119490286596,357000000,67.474419060492
325,5.82,27.06,1.7,3.3,459000000,9.7549993091749,359000000,65.4066295528929
326,5.82,27.06,1.7,3.4,462000000,9.4041330233219,362000000,64.2738444037739
327,5.82,27.06,1.7,3.5,465000000,9.0365135662804,365000000,63.1781267455194
328,5.82,27.06,1.7,3.6,468000000,8.6555591180281,368000000,62.1188471092691
330,5.82,27.06,1.82,3.2,456000000,10.117566691961,356000000,66.033536963507
331,5.82,27.06,1.82,3.3,459000000,9.7606641234274,359000000,64.8368883590824
332,5.82,27.06,1.82,3.4,461000000,9.4188367007113,361000000,62.9778178921043
333,5.82,27.06,1.82,3.5,464000000,9.0620653802553,364000000,61.9145402265283
334,5.82,27.06,1.82,3.6,467000000,8.6898835434433,367000000,60.8826613325373
336,5.82,27.06,1.94,3.2,455000000,10.079982460786,355000000,64.670313901394
337,5.82,27.06,1.94,3.3,458000000,9.7396214160195,358000000,63.5191539047595
338,5.82,27.06,1.94,3.4,460000000,9.4004685183659,360000000,61.7466881682569
339,5.82,27.06,1.94,3.5,463000000,9.0549867191732,363000000,60.7135134249362
340,5.82,27.06,1.94,3.6,466000000,8.6922274921878,366000000,59.7072741064588
342,5.82,27.06,2.06,3.2,454000000,10.013883685797,354000000,63.378917242656
343,5.82,27.06,2.06,3.3,457000000,9.6896101677425,357000000,62.2690530402615
344,5.82,27.06,2.06,3.4,459000000,9.3555945725559,359000000,60.5764746528319
345,5.82,27.06,2.06,3.5,462000000,9.0217303986754,362000000,59.5713692048304
346,5.82,27.06,2.06,3.6,465000000,8.6689525812169,365000000,58.5892703773949
348,5.82,27.06,2.18,3.2,453000000,9.9250902223102,353000000,62.1543085251052
349,5.82,27.06,2.18,3.3,456000000,9.6164141418084,356000000,61.0821011669304
350,5.82,27.06,2.18,3.4,458000000,9.289522496092,358000000,59.463576402471
351,5.82,27.06,2.18,3.5,461000000,8.9675019995048,361000000,58.4847438833478
352,5.82,27.06,2.18,3.6,464000000,8.6251717147458,364000000,57.5254828485728
354,5.82,27.06,2.3,3.2,452000000,9.8183542424422,352000000,60.9920632231692
355,5.82,27.06,2.3,3.3,455000000,9.5247629017549,355000000,59.9543260173559
356,5.82,27.06,2.3,3.4,458000000,9.2092934018187,358000000,58.9401737892827
357,5.82,27.06,2.3,3.5,460000000,8.8965195081682,360000000,57.4505384818752
358,5.82,27.06,2.3,3.6,463000000,8.5650112218187,363000000,56.5129597547917
360,5.82,27.18,1.7,3.2,456000000,10.285146773742,356000000,67.155393132601
361,5.82,27.18,1.7,3.3,458000000,9.9266000240459,358000000,65.1572143837799
362,5.82,27.18,1.7,3.4,461000000,9.5765189758178,361000000,64.0411403550858
363,5.82,27.18,1.7,3.5,464000000,9.2075490102489,364000000,62.9577663191969
364,5.82,27.18,1.7,3.6,467000000,8.8223989194988,367000000,61.9060642837048
366,5.82,27.18,1.82,3.2,455000000,10.281812301611,355000000,65.759013466254
367,5.82,27.18,1.82,3.3,457000000,9.9284120721999,357000000,63.8616765236759
368,5.82,27.18,1.82,3.4,460000000,9.5916373754546,360000000,62.7817578924836
369,5.82,27.18,1.82,3.5,463000000,9.2348081881257,363000000,61.7302459862257
370,5.82,27.18,1.82,3.6,466000000,8.8600672036263,366000000,60.7059463321593
372,5.82,27.18,1.94,3.2,454000000,10.242892283768,354000000,64.435309519287
373,5.82,27.18,1.94,3.3,457000000,9.9033397487567,357000000,63.3009949050067
374,5.82,27.18,1.94,3.4,459000000,9.57347764086,359000000,61.583519659946
375,5.82,27.18,1.94,3.5,462000000,9.2290756871659,362000000,60.5616503137899
376,5.82,27.18,1.94,3.6,465000000,8.8652234342674,365000000,59.5630531647064
378,5.82,27.18,2.06,3.2,453000000,10.175573104324,353000000,63.179294361
379,5.82,27.18,2.06,3.3,456000000,9.8529212893616,356000000,62.0849807248646
380,5.82,27.18,2.06,3.4,458000000,9.5286658339245,358000000,60.4430144382525
381,5.82,27.18,2.06,3.5,461000000,9.1968719429579,361000000,59.4488300213039
382,5.82,27.18,2.06,3.6,464000000,8.8443006462679,364000000,58.4744606127179
384,5.82,27.18,2.18,3.2,452000000,10.085707517545,352000000,61.986604936655
385,5.82,27.18,2.18,3.3,455000000,9.7793444593801,355000000,60.9288425253611
386,5.82,27.18,2.18,3.4,457000000,9.4625634176256,357000000,59.3571105380406
387,5.82,27.18,2.18,3.5,460000000,9.1434661617085,360000000,58.3888620748415
388,5.82,27.18,2.18,3.6,463000000,8.8024827047246,363000000,57.4374173520126
390,5.82,27.18,2.3,3.2,451000000,9.9780743944569,351000000,60.8533618068279
391,5.82,27.18,2.3,3.3,454000000,9.6873766172834,354000000,59.8291077128584
392,5.82,27.18,2.3,3.4,456000000,9.3795271086942,356000000,58.3229105628442
393,5.82,27.18,2.3,3.5,459000000,9.0731348482189,359000000,57.3790176302459
394,5.82,27.18,2.3,3.6,462000000,8.743964197666,362000000,56.449326070065
396,5.82,27.3,1.7,3.2,455000000,10.450251276665,355000000,66.872095601225
397,5.82,27.3,1.7,3.3,457000000,10.095762801052,357000000,64.935606774915
398,5.82,27.3,1.7,3.4,460000000,9.7468912679053,360000000,63.8349811781803
399,5.82,27.3,1.7,3.5,463000000,9.3770974288599,363000000,62.7630143939909
400,5.82,27.3,1.7,3.6,466000000,8.9884705100706,366000000,61.7183330539426
402,5.82,27.3,1.82,3.2,454000000,10.445427694967,354000000,65.516052188335
403,5.82,27.3,1.82,3.3,456000000,10.097009416483,356000000,63.674761374389
404,5.82,27.3,1.82,3.4,459000000,9.7623435679717,359000000,62.6092963711657
405,5.82,27.3,1.82,3.5,462000000,9.4058787533756,362000000,61.5687272163366
406,5.82,27.3,1.82,3.6,465000000,9.0291760896872,365000000,60.5515134051232
408,5.82,27.3,1.94,3.2,453000000,10.405144864099,353000000,64.228408985121
409,5.82,27.3,1.94,3.3,456000000,10.066329200443,356000000,63.109218356303
410,5.82,27.3,1.94,3.4,458000000,9.7443561924365,358000000,61.4414644474485
411,5.82,27.3,1.94,3.5,461000000,9.401361668339,361000000,60.430161158707
412,5.82,27.3,1.94,3.6,464000000,9.0369015289452,364000000,59.4387526573842
414,5.82,27.3,2.06,3.2,452000000,10.336623826662,352000000,63.004885928084
415,5.82,27.3,2.06,3.3,455000000,10.015475806954,355000000,61.924604190625
416,5.82,27.3,2.06,3.4,457000000,9.699609560229,357000000,60.32856073706
417,5.82,27.3,2.06,3.5,460000000,9.37012879197,360000000,59.344620818551
418,5.82,27.3,2.06,3.6,463000000,9.0181465338715,363000000,58.3775512857265
420,5.82,27.3,2.18,3.2,451000000,10.245744402562,351000000,61.841688054786
421,5.82,27.3,2.18,3.3,454000000,9.9415360421339,354000000,60.7970151130189
422,5.82,27.3,2.18,3.4,456000000,9.6335131583937,356000000,59.2678566645547
423,5.82,27.3,2.18,3.5,459000000,9.3175071277875,359000000,58.3095641267535
424,5.82,27.3,2.18,3.6,462000000,8.978160501667,362000000,57.365519948197
426,5.82,27.3,2.3,3.2,450000000,10.137306323726,350000000,60.735396875318
427,5.82,27.3,2.3,3.3,453000000,9.8493092441723,353000000,59.7234040530663
428,5.82,27.3,2.3,3.4,455000000,9.5504651926089,355000000,58.2567906338959
429,5.82,27.3,2.3,3.5,458000000,9.2478255787004,358000000,57.3225835061004
430,5.82,27.3,2.3,3.6,461000000,8.9212003344524,361000000,56.4003711236684
432,5.94,26.7,1.7,3.2,459000000,9.7242731270893,359000000,67.7793323583043
433,5.94,26.7,1.7,3.3,462000000,9.3568969571239,362000000,66.5004585534919
434,5.94,26.7,1.7,3.4,465000000,8.9753577453778,365000000,65.2760855749058
435,5.94,26.7,1.7,3.5,467000000,8.6028033494846,367000000,63.2857587621146
436,5.94,26.7,1.7,3.6,470000000,8.23890120819,370000000,62.223011896048
438,5.94,26.7,1.82,3.2,458000000,9.7224080903756,358000000,66.2630265031686
439,5.94,26.7,1.82,3.3,461000000,9.3693966561077,361000000,65.0376468092987
440,5.94,26.7,1.82,3.4,464000000,9.000644651767,364000000,63.859752536019
441,5.94,26.7,1.82,3.5,466000000,8.6216877330745,366000000,61.9612926838375
442,5.94,26.7,1.82,3.6,469000000,8.2625135154697,369000000,60.9249697482477
444,5.94,26.7,1.94,3.2,457000000,9.6847228600528,357000000,64.8332104503068
445,5.94,26.7,1.94,3.3,460000000,9.3459608482252,360000000,63.6557534509852
446,5.94,26.7,1.94,3.4,463000000,8.9900808755729,363000000,62.5197865841929
447,5.94,26.7,1.94,3.5,466000000,8.6193225240023,366000000,61.4227609119403
448,5.94,26.7,1.94,3.6,468000000,8.2554920709853,368000000,59.6941171757113
450,5.94,26.7,2.06,3.2,456000000,9.618382056799,356000000,63.482514537356
451,5.94,26.7,2.06,3.3,459000000,9.293693282581,359000000,62.348297973823
452,5.94,26.7,2.06,3.4,462000000,8.9507192054452,362000000,61.2504398946432
453,5.94,26.7,2.06,3.5,465000000,8.5911343669628,365000000,60.1863776168668
454,5.94,26.7,2.06,3.6,467000000,8.224086080816,367000000,58.526176186633
456,5.94,26.7,2.18,3.2,455000000,9.5292030793742,355000000,62.2046818284772
457,5.94,26.7,2.18,3.3,458000000,9.2183613188769,358000000,61.1097184896579
458,5.94,26.7,2.18,3.4,461000000,8.8882775105335,361000000,60.0467202681975
459,5.94,26.7,2.18,3.5,464000000,8.5400854634987,364000000,59.0130460035157
460,5.94,26.7,2.18,3.6,467000000,8.1766719358775,367000000,58.0083037650845
462,5.94,26.7,2.3,3.2,454000000,9.4219199963875,354000000,60.9943065976435
463,5.94,26.7,2.3,3.3,457000000,9.1246577938862,357000000,59.9351603252012
464,5.94,26.7,2.3,3.4,460000000,8.8074009260339,360000000,58.9042208828439
465,5.94,26.7,2.3,3.5,463000000,8.4707760831303,363000000,57.8987318797573
466,5.94,26.7,2.3,3.6,466000000,8.1170039858025,366000000,56.9179609836575
468,5.94,26.82,1.7,3.2,458000000,9.8934496069334,358000000,67.3854738701984
469,5.94,26.82,1.7,3.3,461000000,9.5251688766206,361000000,66.1326623615716
470,5.94,26.82,1.7,3.4,464000000,9.1409905477166,364000000,64.9287534421126
