,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
228,3.82,5.7,26.94,3.2,457000000.0,9.3641283475325,357000000.0,65.2834116162415,432000000.0,16.4736389246291
229,3.82,5.7,26.94,3.3,460000000.0,9.0489462810365,360000000.0,64.10892227690249,435000000.0,16.2292055288095
230,3.82,5.7,26.94,3.4,463000000.0,8.7144265088887,363000000.0,62.9764864128987,438000000.0,15.9622503208141
231,3.82,5.7,26.94,3.5,466000000.0,8.3627554211799,366000000.0,61.8831439601019,441000000.0,15.676853622576399
232,3.82,5.7,26.94,3.6,469000000.0,7.9982225509618,369000000.0,60.8287824521468,444000000.0,15.3794688917474
234,3.82,5.7,27.06,3.2,456000000.0,9.5302430084874,356000000.0,64.9749715069964,431000000.0,16.9182027214378
235,3.82,5.7,27.06,3.3,459000000.0,9.2176054507972,359000000.0,63.8238788507442,434000000.0,16.6707618131022
236,3.82,5.7,27.06,3.4,462000000.0,8.8843045577244,362000000.0,62.7105745618994,437000000.0,16.3985953375275
237,3.82,5.7,27.06,3.5,465000000.0,8.531894252866,365000000.0,61.631902795828,440000000.0,16.1050677845205
238,3.82,5.7,27.06,3.6,467000000.0,8.1772933699404,367000000.0,59.9037286587844,442000000.0,16.5387795215429
240,3.82,5.7,27.18,3.2,455000000.0,9.6945870448732,355000000.0,64.7008619973622,430000000.0,17.3734391757364
241,3.82,5.7,27.18,3.3,458000000.0,9.3845480934675,358000000.0,63.5709048688895,433000000.0,17.1233072722079
242,3.82,5.7,27.18,3.4,461000000.0,9.0526404539655,361000000.0,62.474921887301505,436000000.0,16.8463996538213
243,3.82,5.7,27.18,3.5,464000000.0,8.6998632061101,364000000.0,61.4095804032131,439000000.0,16.5454415869049
244,3.82,5.7,27.18,3.6,466000000.0,8.3558437003498,366000000.0,59.735709900113804,441000000.0,16.9919889349987
246,3.82,5.7,27.3,3.2,454000000.0,9.857372607095,354000000.0,64.457363361552,429000000.0,17.8391401578675
247,3.82,5.7,27.3,3.3,457000000.0,9.5499786646786,357000000.0,63.3466302994836,432000000.0,17.586620052436
248,3.82,5.7,27.3,3.4,460000000.0,9.2195998370571,360000000.0,62.266417082523105,435000000.0,17.305396890194302
249,3.82,5.7,27.3,3.5,462000000.0,8.8685808753653,362000000.0,60.5645268526183,437000000.0,17.7495078813789
250,3.82,5.7,27.3,3.6,465000000.0,8.5327815092815,365000000.0,59.5894122711995,440000000.0,17.4562832792752
252,3.82,5.82,26.7,3.2,459000000.0,9.140684548776,359000000.0,66.14486326801,434000000.0,15.5279308191536
253,3.82,5.82,26.7,3.3,461000000.0,8.8059384481018,361000000.0,64.0031394649898,436000000.0,15.9863926821678
254,3.82,5.82,26.7,3.4,464000000.0,8.473123698808,364000000.0,62.862408854029994,439000000.0,15.7340859228503
255,3.82,5.82,26.7,3.5,467000000.0,8.1260803643238,367000000.0,61.7651827431608,442000000.0,15.467222326999998
256,3.82,5.82,26.7,3.6,470000000.0,7.7700839522012,370000000.0,60.7120864064712,445000000.0,15.1933164138864
258,3.82,5.82,26.82,3.2,458000000.0,9.2997606437606,358000000.0,65.7421084699636,433000000.0,15.9401228819297
259,3.82,5.82,26.82,3.3,460000000.0,8.9788175080266,360000000.0,63.6920654850446,435000000.0,16.4171027783332
260,3.82,5.82,26.82,3.4,463000000.0,8.6474028324078,363000000.0,62.5724858238338,438000000.0,16.159451085870298
261,3.82,5.82,26.82,3.5,466000000.0,8.2995634472457,366000000.0,61.49144377286569,441000000.0,15.884058239497
262,3.82,5.82,26.82,3.6,469000000.0,7.9396224245648,369000000.0,60.449015173287805,444000000.0,15.5974113082677
264,3.82,5.82,26.94,3.2,456000000.0,9.4593071881811,356000000.0,64.5543986221081,431000000.0,17.0971286810376
265,3.82,5.82,26.94,3.3,459000000.0,9.1494685788002,359000000.0,63.416750738225204,434000000.0,16.8586907879936
266,3.82,5.82,26.94,3.4,462000000.0,8.8196900035932,362000000.0,62.316218066576205,437000000.0,16.5962278066802
267,3.82,5.82,26.94,3.5,465000000.0,8.4715240547478,365000000.0,61.24982085874581,440000000.0,16.3131035183466
268,3.82,5.82,26.94,3.6,468000000.0,8.1084297338313,368000000.0,60.2171167801163,443000000.0,16.0148611170453
270,3.82,5.82,27.06,3.2,455000000.0,9.624895841935,355000000.0,64.289737137271,430000000.0,17.5516463882151
271,3.82,5.82,27.06,3.3,458000000.0,9.3180716588001,358000000.0,63.1730852107361,433000000.0,17.3109091325492
272,3.82,5.82,27.06,3.4,461000000.0,8.9901135429466,361000000.0,62.0898185009556,436000000.0,17.0441115136368
273,3.82,5.82,27.06,3.5,464000000.0,8.642004193248,364000000.0,61.036752834717,439000000.0,16.7539633500826
274,3.82,5.82,27.06,3.6,467000000.0,8.2764273446941,367000000.0,60.0129714982281,442000000.0,16.445149200984403
276,3.82,5.82,27.18,3.2,454000000.0,9.7885655061544,354000000.0,64.0552095585504,429000000.0,18.0162499393183
277,3.82,5.82,27.18,3.3,457000000.0,9.4848129245225,357000000.0,62.957675666651504,432000000.0,17.7735237683474
278,3.82,5.82,27.18,3.4,460000000.0,9.1588240583524,360000000.0,61.890155609626404,435000000.0,17.5028269763407
279,3.82,5.82,27.18,3.5,463000000.0,8.8110835345915,363000000.0,60.8492866417545,438000000.0,17.2062869272219
280,3.82,5.82,27.18,3.6,465000000.0,8.4491064984147,365000000.0,59.2243980165057,440000000.0,17.642447130646502
282,3.82,5.82,27.3,3.2,453000000.0,9.9504847705604,353000000.0,63.8476837564174,428000000.0,18.4907051330809
283,3.82,5.82,27.3,3.3,456000000.0,9.6498740001339,356000000.0,62.7676881214539,431000000.0,18.2463077024898
